GROUP_ID,WELL_CD,ROC_VOLTAGE,FLOW,PRESSURE_TH,TSTART
48,MOOL3,1237-EB-0002.RM_PV,1237-F-0002.RM_PV,1237-P_TH-0002.RM_PV,29/06/2016 5:05
48,MOOL4,1237-EB-0004.RM_PV,1237-F-0004.RM_PV,1237-P_TH-0004.RM_PV,29/06/2016 5:06
48,MOOL5,1237-EB-0011.RM_PV,1237-F-0011.RM_PV,1237-P_TH-0011.RM_PV,29/06/2016 5:08
48,MOOL6,1237-EB-0017.RM_PV,1237-F-0017.RM_PV,1237-P_TH-0017.RM_PV,29/06/2016 5:09
48,MOOL7,1237-EB-0020.RM_PV,1237-F-0020.RM_PV,1237-P_TH-0020.RM_PV,29/06/2016 5:10
44,MOOLN2,1234-EB-0005.RM_PV,1234-F-0005.RM_PV,1234-P_TH-0005.RM_PV,29/06/2016 5:11
2,MOOM1,1060-EB-5102.RM_PV,1060-F-5102.RM_PV,1060-P_TH-5102.RM_PV,29/06/2016 4:59
41,MOOM10,1040-EB-0058.RM_PV,1040-F-0058.RM_PV,1040-P_TH-0058.RM_PV,29/06/2016 5:00
45,MOOM103,1070-EB-0041.RM_PV,1070-F-0041.RM_PV,1070-P_TH-0041.RM_PV,29/06/2016 5:37
19,MOOM105,1070-EB-0081.RM_PV,1070-F-0081.RM_PV,1070-P_TH-0081.RM_PV,29/06/2016 5:38
46,MOOM106,1070-EB-0082.RM_PV,1070-F-0082.RM_PV,1070-P_TH-0082.RM_PV,29/06/2016 5:39
46,MOOM108,1070-EB-0084.RM_PV,1070-F-0084.RM_PV,1070-P_TH-0084.RM_PV,29/06/2016 5:39
46,MOOM109,1070-EB-0085.RM_PV,1070-F-0085.RM_PV,1070-P_TH-0085.RM_PV,29/06/2016 5:40
46,MOOM110,1070-EB-0086.RM_PV,1070-F-0086.RM_PV,1070-P_TH-0086.RM_PV,29/06/2016 5:40
21,MOOM111,1070-EB-0089.RM_PV,1070-F-0089.RM_PV,1070-P_TH-0089.RM_PV,29/06/2016 5:41
21,MOOM112,1070-EB-0088.RM_PV,1070-F-0088.RM_PV,1070-P_TH-0088.RM_PV,1/11/2016 4:43
21,MOOM113,1070-EB-0091.RM_PV,1070-F-0091.RM_PV,1070-P_TH-0091.RM_PV,29/06/2016 5:01
12,MOOM114,1070-EB-0095.RM_PV,1070-F-0095.RM_PV,1070-P_TH-0095.RM_PV,29/06/2016 5:02
46,MOOM115,1070-EB-0096.RM_PV,1070-F-0096.RM_PV,1070-P_TH-0096.RM_PV,29/06/2016 6:02
21,MOOM116,1070-EB-0097.RM_PV,1070-F-0097.RM_PV,1070-P_TH-0097.RM_PV,29/06/2016 5:03
37,MOOM120,1060-EB-5093.RM_PV,1060-F-5093.RM_PV,1060-P_TH-5093.RM_PV,29/06/2016 5:43
46,MOOM121,1070-EB-0098.RM_PV,1070-F-0098.RM_PV,1070-P_TH-0098.RM_PV,29/06/2016 5:43
46,MOOM122,1070-EB-0099.RM_PV,1070-F-0099.RM_PV,1070-P_TH-0099.RM_PV,29/06/2016 5:44
3,MOOM123,1070-EB-0100.RM_PV,1070-F-0100.RM_PV,1070-P_TH-0100.RM_PV,29/06/2016 5:45
46,MOOM124,1070-EB-0101.RM_PV,1070-F-0101.RM_PV,1070-P_TH-0101.RM_PV,29/06/2016 5:45
3,MOOM131,1070-EB-0106.RM_PV,1070-F-0106.RM_PV,1070-P_TH-0106.RM_PV,29/06/2016 5:47
19,MOOM132,1070-EB-0109.RM_PV,1070-F-0109.RM_PV,1070-P_TH-0109.RM_PV,29/06/2016 5:47
31,MOOM133,1060-EB-0070.RM_PV,1060-F-0070.RM_PV,1060-P_TH-0070.RM_PV,29/06/2016 5:48
7,MOOM134,1070-EB-0110.RM_PV,1070-F-0110.RM_PV,1070-P_TH-0110.RM_PV,29/06/2016 5:49
2,MOOM138,1060-EB-0053.RM_PV,1060-F-0053.RM_PV,1060-P_TH-0053.RM_PV,29/06/2016 5:01
31,MOOM139,1060-EB-0052.RM_PV,1060-F-0052.RM_PV,1060-P_TH-0052.RM_PV,29/06/2016 5:02
35,MOOM14,1050-EB-8279.RM_PV,1050-F-8279.RM_PV,1050-P_TH-8279.RM_PV,29/06/2016 5:02
3,MOOM140,1070-EB-8068.RM_PV,1070-F-8068.RM_PV,1070-P_TH-8068.RM_PV,29/06/2016 5:49
19,MOOM141,1070-EB-8069.RM_PV,1070-F-8069.RM_PV,1070-P_TH-8069.RM_PV,29/06/2016 5:50
19,MOOM142,1070-EB-00389.RM_PV,1070-F-00389.RM_PV,1070-P_TH-00389.RM_PV,4/01/2020 1:55
19,MOOM143,1070-EB-0112.RM_PV,1070-F-0112.RM_PV,1070-P_TH-0112.RM_PV,29/06/2016 5:51
3,MOOM146,1070-EB-0115.RM_PV,1070-F-0115.RM_PV,1070-P_TH-0115.RM_PV,29/06/2016 5:52
31,MOOM149,1060-EB-0054.RM_PV,1060-F-0054.RM_PV,1060-P_TH-0054.RM_PV,29/06/2016 5:21
31,MOOM150,1060-EB-0055.RM_PV,1060-F-0055.RM_PV,1060-P_TH-0055.RM_PV,29/06/2016 5:52
14,MOOM151,1060-EB-0056.RM_PV,1060-F-0056.RM_PV,1060-P_TH-0056.RM_PV,29/06/2016 5:53
14,MOOM152,1060-EB-0057.RM_PV,1060-F-0057.RM_PV,1060-P_TH-0057.RM_PV,29/06/2016 5:53
46,MOOM154,1070-EB-0119.RM_PV,1070-F-0119.RM_PV,1070-P_TH-0119.RM_PV,29/06/2016 5:54
46,MOOM156,1070-EB-0118.RM_PV,1070-F-0118.RM_PV,1070-P_TH-0118.RM_PV,29/06/2016 5:54
46,MOOM157,1070-EB-0120.RM_PV,1070-F-0120.RM_PV,1070-P_TH-0120.RM_PV,29/06/2016 5:55
3,MOOM158,1070-EB-0121.RM_PV,1070-F-0121.RM_PV,1070-P_TH-0121.RM_PV,29/06/2016 5:56
46,MOOM159,1070-EB-0122.RM_PV,1070-F-0122.RM_PV,1070-P_TH-0122.RM_PV,29/06/2016 5:57
41,MOOM16,1040-EB-8496.RM_PV,1040-F-8496.RM_PV,1040-P_TH-8496.RM_PV,29/06/2016 5:03
14,MOOM163,1060-EB-0060.RM_PV,1060-F-0060.RM_PV,1060-P_TH-0060.RM_PV,29/06/2016 5:58
14,MOOM164,1060-EB-0061.RM_PV,1060-F-0061.RM_PV,1060-P_TH-0061.RM_PV,29/06/2016 5:22
46,MOOM169,1070-EB-0134.RM_PV,1070-F-0134.RM_PV,1070-P_TH-0134.RM_PV,29/06/2016 5:58
46,MOOM170,1070-EB-0135.RM_PV,1070-F-0135.RM_PV,1070-P_TH-0135.RM_PV,29/06/2016 5:03
46,MOOM171,1070-EB-0136.RM_PV,1070-F-0136.RM_PV,1070-P_TH-0136.RM_PV,29/06/2016 4:58
46,MOOM172,1070-EB-0137.RM_PV,1070-F-0137.RM_PV,1070-P_TH-0137.RM_PV,29/06/2016 5:00
46,MOOM173,1070-EB-0138.RM_PV,1070-F-0138.RM_PV,1070-P_TH-0138.RM_PV,29/06/2016 5:02
45,MOOM175,1060-EB-5107.RM_PV,1060-F-5107.RM_PV,1060-P_TH-5107.RM_PV,29/06/2016 5:23
35,MOOM176,1050-EB-8326.RM_PV,1050-F-8326.RM_PV,1050-P_TH-8326.RM_PV,29/06/2016 5:04
45,MOOM178,1060-EB-5112.RM_PV,1060-F-5112.RM_PV,1060-P_TH-5112.RM_PV,29/06/2016 5:24
45,MOOM179,1060-EB-5110.RM_PV,1060-F-5110.RM_PV,1060-P_TH-5110.RM_PV,29/06/2016 23:24
45,MOOM180,1060-EB-5114.RM_PV,1060-F-5114.RM_PV,1060-P_TH-5114.RM_PV,29/06/2016 5:06
45,MOOM181,1060-EB-5116.RM_PV,1060-F-5116.RM_PV,1060-P_TH-5116.RM_PV,29/06/2016 5:29
46,MOOM184,1070-EB-8092.RM_PV,1070-F-8092.RM_PV,1070-P_TH-8092.RM_PV,29/06/2016 5:00
46,MOOM185,1070-EB-8097.RM_PV,1070-F-8097.RM_PV,1070-P_TH-8097.RM_PV,29/06/2016 5:01
46,MOOM187,1070-EB-8102.RM_PV,1070-F-8102.RM_PV,1070-P_TH-8102.RM_PV,29/06/2016 5:02
48,MOOM188,1040-EB-9093.RM_PV,1040-F-9093.RM_PV,1040-P_TH-9093.RM_PV,29/06/2016 5:03
48,MOOM189,1050-EB-8847.RM_PV,1050-F-8847.RM_PV,1050-P_TH-8847.RM_PV,29/06/2016 5:06
35,MOOM19,1050-EB-7978.RM_PV,1050-F-7978.RM_PV,1050-P_TH-7978.RM_PV,29/06/2016 5:07
48,MOOM190,1050-EB-8852.RM_PV,1050-F-8852.RM_PV,1050-P_TH-8852.RM_PV,29/06/2016 5:08
46,MOOM191,1070-EB-9679.RM_PV,1070-F-9679.RM_PV,1070-P_TH-9679.RM_PV,29/06/2016 5:04
46,MOOM192,1070-EB-9726.RM_PV,1070-F-9726.RM_PV,1070-P_TH-9726.RM_PV,29/06/2016 5:04
46,MOOM193,1070-EB-9871.RM_PV,1070-F-9871.RM_PV,1070-P_TH-9871.RM_PV,29/06/2016 5:05
7,MOOM194,1070-EB-9705.RM_PV,1070-F-09705.RM_PV,1070-P_TH-09705.RM_PV,29/06/2016 5:06
2,MOOM195,1050-EB-00242.RM_PV,1050-F-00242.RM_PV,1050-P_TH-00242.RM_PV,13/04/2022 6:48
46,MOOM196,1070-EB-9711.RM_PV,1070-F-9711.RM_PV,1070-P_TH-9711.RM_PV,29/06/2016 5:07
46,MOOM197,1070-EB-9700.RM_PV,1070-F-9700.RM_PV,1070-P_TH-9700.RM_PV,29/06/2016 5:07
46,MOOM198,1070-EB-9747.RM_PV,1070-F-9747.RM_PV,1070-P_TH-9747.RM_PV,29/06/2016 5:08
46,MOOM199,1070-EB-9736.RM_PV,1070-F-9736.RM_PV,1070-P_TH-9736.RM_PV,29/06/2016 5:09
48,MOOM2,1050-EB-8278.RM_PV,1050-F-8278.RM_PV,1050-P_TH-8278.RM_PV,29/06/2016 6:08
46,MOOM200,1070-EB-9758.RM_PV,1070-F-9758.RM_PV,1070-P_TH-9758.RM_PV,29/06/2016 5:10
46,MOOM201,1070-EB-9769.RM_PV,1070-F-9769.RM_PV,1070-P_TH-9769.RM_PV,29/06/2016 5:11
48,MOOM202,1050-EB-8903.RM_PV,1050-F-8903.RM_PV,1050-P_TH-8903.RM_PV,29/06/2016 5:09
7,MOOM206,1070-EB-00310.RM_PV,1070-F-00310.RM_PV,1070-P_TH-00310.RM_PV,29/06/2016 5:11
7,MOOM207,1070-EB-00315.RM_PV,1070-F-00315.RM_PV,1070-P_TH-00315.RM_PV,29/06/2016 5:13
3,MOOM208,1070-EB-00320.RM_PV,1070-F-00320.RM_PV,1070-P_TH-00320.RM_PV,29/06/2016 5:13
42,MOOM209,1040-EB-00001.RM_PV,1040-F-00001.RM_PV,1040-P_TH-00001.RM_PV,29/06/2016 5:10
48,MOOM21,1050-EB-0056.RM_PV,1050-F-0056.RM_PV,1050-P_TH-0056.RM_PV,29/06/2016 5:11
25,MOOM212,1050-EB-0043.RM_PV,1050-F-0043.RM_PV,1050-P_TH-0043.RM_PV,29/06/2016 5:15
46,MOOM213,1070-EB-00327.RM_PV,1070-F-00327.RM_PV,1070-P_TH-00327.RM_PV,1/08/2017 4:19
46,MOOM214,1070-EB-00332.RM_PV,1070-F-00332.RM_PV,1070-P_TH-00332.RM_PV,1/08/2017 4:39
46,MOOM215,1070-EB-00337.RM_PV,1070-F-00337.RM_PV,1070-P_TH-00337.RM_PV,1/08/2017 5:31
46,MOOM216,1070-EB-00342.RM_PV,1070-F-00342.RM_PV,1070-P_TH-00342.RM_PV,1/08/2017 21:31
48,MOOM217,1050-EB-00100.RM_PV,1050-F-00100.RM_PV,1050-P_TH-00100.RM_PV,5/10/2018 7:11
48,MOOM218,1050-EB-00105.RM_PV,1050-F-00105.RM_PV,1050-P_TH-00105.RM_PV,5/10/2018 6:11
50,MOOM219,1050-EB-.RM_PV,1050-F-.RM_PV,1050-P_TH-.RM_PV,11/08/2018 2:13
50,MOOM220,1050-EB-00115.RM_PV,1050-F-00115.RM_PV,1050-P_TH-00115.RM_PV,11/08/2018 2:14
46,MOOM221,1070-EB-00359.RM_PV,1070-F-00359.RM_PV,1070-P_TH-00359.RM_PV,26/10/2018 3:12
46,MOOM222,1070-EB-00364.RM_PV,1070-F-00364.RM_PV,1070-P_TH-00364.RM_PV,26/10/2018 4:13
46,MOOM223,1070-EB-00369.RM_PV,1070-F-00369.RM_PV,1070-P_TH-00369.RM_PV,26/10/2018 4:13
7,MOOM224,1070-EB-00354.RM_PV,1070-F-00354.RM_PV,1070-P_TH-00354.RM_PV,21/09/2018 7:14
48,MOOM228,1050-EB-00124.RM_PV,1050-F-00124.RM_PV,1050-P_TH-00124.RM_PV,22/12/2018 6:14
35,MOOM229,1050-EB-00129.RM_PV,1050-F-00129.RM_PV,1050-P_TH-00129.RM_PV,14/12/2018 3:15
